Smiles,IP vs SHE / V,EA vs SHE / V,Excitation Energy / eV
O=S1(=O)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)S(=O)(=O)c4cc(-c6ccc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9ccc(-c%10ccc%11c(c%10)S(=O)(=O)c%10cc(-c%12cccs%12)ccc%10-%11)s9)ccc7-8)s6)ccc4-5)s3)cc21,0.6357759999999997,-1.7076000000000005,2.5584
O=C1c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)c4cc(-c6ccc(-c7ccc8c(c7)C(=O)c7cc(-c9ccc(-c%10ccc%11c(c%10)C(=O)c%10cc(-c%12cccs%12)ccc%10-%11)s9)ccc7-8)s6)ccc4-5)s3)cc21,0.6654319999999994,-1.3191000000000002,2.15635
c1c[nH]c(-c2ccc(-c3ccc(-c4ccc(-c5ccc(-c6ccc(-c7ccc(-c8ccc[nH]8)[nH]7)[nH]6)[nH]5)[nH]4)[nH]3)[nH]2)c1,-0.49643200000000026,-3.196332,2.4241
c1c[nH]c(-c2ccc3c(c2)Cc2cc(-c4ccc(-c5ccc6c(c5)Cc5cc(-c7ccc(-c8ccc9c(c8)Cc8cc(-c%10ccc(-c%11ccc%12c(c%11)Cc%11ccccc%11-%12)[nH]%10)ccc8-9)[nH]7)ccc5-6)[nH]4)ccc2-3)c1,0.18415999999999944,-2.399004,2.6442499999999995
c1c[nH]c(-c2ccc3c(c2)sc2cc(-c4ccc(-c5ccc6c(c5)sc5cc(-c7ccc(-c8ccc9c(c8)sc8cc(-c%10ccc(-c%11ccc%12c(c%11)sc%11ccccc%11%12)[nH]%10)ccc89)[nH]7)ccc56)[nH]4)ccc23)c1,0.26995999999999953,-2.351376,2.73435
c1c[nH]c(-c2ccc3c(c2)[nH]c2cc(-c4ccc(-c5ccc6c(c5)[nH]c5cc(-c7ccc(-c8ccc9c(c8)[nH]c8cc(-c%10ccc(-c%11ccc%12c(c%11)[nH]c%11ccccc%11%12)[nH]%10)ccc89)[nH]7)ccc56)[nH]4)ccc23)c1,0.11947999999999931,-2.6006040000000006,2.7946999999999997
O=S1(=O)c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)S(=O)(=O)c4cc(-c6ccc(-c7ccc8c(c7)S(=O)(=O)c7cc(-c9ccc(-c%10ccc%11c(c%10)S(=O)(=O)c%10cc(-c%12ccc[nH]%12)ccc%10-%11)[nH]9)ccc7-8)[nH]6)ccc4-5)[nH]3)cc21,0.3610399999999999,-2.0149560000000006,2.5932500000000003
O=C1c2ccccc2-c2ccc(-c3ccc(-c4ccc5c(c4)C(=O)c4cc(-c6ccc(-c7ccc8c(c7)C(=O)c7cc(-c9ccc(-c%10ccc%11c(c%10)C(=O)c%10cc(-c%12ccc[nH]%12)ccc%10-%11)[nH]9)ccc7-8)[nH]6)ccc4-5)[nH]3)cc21,0.4139279999999993,-1.4619840000000002,2.09855
c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)Cc3cc(-c5ccc6c(c5)Cc5cc(-c7ccc8c(c7)Cc7cc(-c9ccc%10c(c9)Cc9cc(-c%11ccc%12c(c%11)Cc%11cc(-c%13ccc%14c(c%13)Cc%13cc(-c%15ccc%16c(c%15)Cc%15ccccc%15-%16)ccc%13-%14)ccc%11-%12)ccc9-%10)ccc7-8)ccc5-6)ccc3-4)ccc1-2,0.7627599999999999,-2.2780440000000004,3.26135
c1ccc2c(c1)Cc1cc(-c3ccc4c(c3)sc3cc(-c5ccc6c(c5)Cc5cc(-c7ccc8c(c7)sc7cc(-c9ccc%10c(c9)Cc9cc(-c%11ccc%12c(c%11)sc%11cc(-c%13ccc%14c(c%13)Cc%13cc(-c%15ccc%16c(c%15)sc%15ccccc%15%16)ccc%13-%14)ccc%11%12)ccc9-%10)ccc78)ccc5-6)ccc34)ccc1-2,0.8286719999999996,-2.23428,3.32425
